usage_id,customer_id,usage_date,data_used_gb,call_minutes,sms_count
U0120,1045,2026-07-23,3.4,417,58
U0121,1029,2026-01-19,0.72,108,102
U0122,1043,2025-09-03,3.15,45,197
U0123,1036,2026-04-02,3.84,270,102
U0124,1087,2025-12-28,9.82,284,84
U0125,1004,2025-10-11,1.6,143,45
U0126,1075,2026-04-11,9.64,145,9
U0127,1014,2026-02-05,6.17,186,186
U0128,1041,2026-03-04,4.65,271,29
U0129,1050,2025-10-24,9.05,107,65
U0130,1006,2026-02-04,7.23,10,133
U0131,1069,2025-09-05,7.03,491,189
U0132,1095,2026-04-20,6.87,196,110
U0133,1009,2025-12-05,9.51,481,84
U0134,1080,2026-05-04,3.48,444,31
U0135,1093,2026-03-08,9.05,269,79
U0136,1086,2026-05-25,4.38,216,178
U0137,1038,2026-05-13,5.77,108,107
U0138,1086,2026-01-10,9.43,356,191
U0139,1023,2025-10-23,6.35,164,103
U0140,1071,2025-11-11,8.42,165,73
U0141,1027,2026-06-17,4.58,306,155
U0142,1084,2026-03-29,3.56,236,113
U0143,1087,2025-12-15,2.53,252,188
U0144,1022,2026-05-05,6.76,155,131
U0145,1085,2026-06-09,6.51,181,23
U0146,1097,2026-06-11,2.73,168,57
U0147,1026,2025-08-24,1.9,33,62
U0148,1061,2025-10-24,6.31,403,18
U0149,1059,2025-08-10,4.44,332,147
U0150,1025,2025-08-12,7.32,206,126
U0151,1052,2025-10-19,2.82,345,176
U0152,1001,2026-04-22,8.98,450,197
U0153,1014,2026-04-29,7.89,122,45
U0154,1090,2025-09-23,5.42,35,142
U0155,1032,2026-01-26,9.22,72,116
U0156,1018,2026-03-01,8.11,351,135
U0157,1072,2026-02-20,6.16,496,193
U0158,1057,2025-11-28,6.32,378,129
U0159,1055,2026-04-01,8.39,290,114
U0160,1021,2025-12-16,7.56,253,115
U0161,1034,2026-01-23,7.64,440,163
U0162,1036,2026-06-08,7.78,276,124
U0163,1081,2026-06-12,2.77,235,19
U0164,1092,2025-10-02,3.21,149,85
U0165,1041,2026-06-21,8.98,51,35
U0166,1020,2025-09-04,2.7,365,39
U0167,1091,2026-06-27,2.53,222,104
U0168,1043,2025-12-13,5.65,222,15
U0169,1027,2026-07-29,8.41,209,197
U0170,1075,2025-09-24,9.49,20,195
U0171,1074,2025-11-23,4.11,13,90
U0172,1039,2026-02-20,7.66,446,107
U0173,1069,2026-06-07,7.6,289,154
U0174,1029,2025-11-26,5.14,149,111
U0175,1063,2025-11-04,0.78,182,171
U0176,1087,2026-04-13,8.08,380,42
U0177,1060,2026-03-20,9.24,328,136
U0178,1004,2026-06-23,9.12,313,144
U0179,1085,2026-03-21,0.76,339,109
U0180,1018,2026-04-27,8.74,103,12
U0181,1034,2026-05-11,4.1,118,116
U0182,1042,2025-08-22,3.71,460,97
U0183,1036,2025-09-17,7.64,435,107
U0184,1033,2025-08-29,8.43,250,4
U0185,1096,2026-04-28,5.62,497,89
U0186,1029,2026-06-30,6.68,409,166
U0187,1006,2025-12-26,7.67,496,63
U0188,1026,2025-09-24,8.47,328,39
U0189,1031,2025-11-18,1.7,352,29
U0190,1073,2026-06-29,9.5,248,179
U0191,1033,2025-09-02,7.79,95,155
U0192,1078,2026-05-31,9.66,377,29
U0193,1100,2026-05-14,8.28,169,27
U0194,1075,2026-03-11,0.74,169,147
U0195,1087,2025-08-19,9.13,202,101
U0196,1092,2026-01-25,2.38,313,176
U0197,1081,2025-08-25,2.81,366,197
U0198,1039,2025-09-10,8.58,317,30
U0199,1073,2026-06-09,7.94,187,136
U0200,1055,2025-10-11,6.78,45,129
U0201,1083,2025-10-16,3.74,444,107
U0202,1063,2026-05-10,1.5,195,162
U0203,1059,2026-03-03,7.22,232,45
U0204,1094,2025-10-30,5.46,343,69
U0205,1079,2025-11-11,8.18,285,198
U0206,1062,2025-09-14,4.92,432,187
U0207,1076,2025-12-10,3.05,446,62
U0208,1012,2025-11-28,3.15,240,62
U0209,1097,2026-02-22,4.91,322,171
U0210,1049,2026-07-15,3.7,263,83
U0211,1024,2026-02-09,5.13,191,66
U0212,1044,2026-03-04,3.16,315,179
U0213,1036,2025-10-13,5.78,274,48
U0214,1011,2026-04-08,2.79,218,125
U0215,1072,2026-05-28,7.7,363,121
U0216,1083,2026-01-20,7.26,239,4
U0217,1012,2026-01-22,3.3,217,177
U0218,1032,2026-06-19,3.41,307,94
U0219,1061,2026-04-22,5.76,186,108
U0220,1096,2026-07-15,5.73,190,179
U0221,1059,2025-09-10,3.07,138,59
U0222,1016,2026-05-22,7.35,171,30
U0223,1096,2025-08-10,5.59,400,176
U0224,1024,2026-06-15,2.32,388,123
U0225,1036,2026-06-11,7.38,399,134
U0226,1077,2025-12-01,3.19,61,49
U0227,1038,2026-03-26,2.66,101,77
U0228,1002,2025-10-30,7.23,74,70
U0229,1006,2025-12-07,9.76,293,74
U0230,1090,2025-10-02,9.47,336,192
U0231,1063,2026-04-27,1.47,16,146
U0232,1037,2025-12-28,4.96,235,87
U0233,1024,2025-11-26,9.67,139,122
U0234,1015,2026-01-25,8.31,215,125
U0235,1010,2025-08-07,5.98,361,13
U0236,1020,2025-12-20,1.92,298,77
U0237,1011,2026-01-12,9.94,70,142
U0238,1098,2026-04-27,4.45,315,158
U0239,1029,2025-11-30,7.87,204,115
U0240,1057,2026-06-27,3.32,311,109
U0241,1040,2026-06-04,5.9,40,156
U0242,1095,2025-08-18,1.44,400,53
U0243,1081,2025-12-28,2.5,348,20
U0244,1021,2026-06-25,2.78,292,19
U0245,1021,2026-04-19,0.53,240,176
U0246,1077,2026-05-10,4.96,26,59
U0247,1037,2025-08-25,7.22,369,116
U0248,1010,2026-05-05,7.03,483,67
U0249,1081,2025-11-20,6.1,421,50
U0250,1055,2025-10-26,1.59,125,165
U0251,1020,2025-08-21,9.13,433,36
U0252,1010,2026-05-06,1.07,415,78
U0253,1077,2025-08-07,7.62,301,73
U0254,1057,2025-10-14,1.68,362,77
U0255,1090,2026-01-07,4.32,149,128
U0256,1070,2026-03-21,5.19,51,153
U0257,1006,2026-07-22,8.95,386,82
U0258,1078,2026-01-03,2.88,56,58
U0259,1087,2026-07-16,8.44,304,150
U0260,1003,2025-11-10,10.0,354,68
U0261,1074,2025-09-06,0.88,397,44
U0262,1061,2026-01-18,5.43,236,71
U0263,1024,2025-11-30,9.97,233,162
U0264,1063,2025-08-21,9.71,250,89
U0265,1053,2026-06-26,3.67,353,26
U0266,1021,2026-03-16,3.63,365,126
U0267,1037,2026-02-03,6.79,215,194
U0268,1071,2026-03-19,0.85,55,80
U0269,1033,2025-10-26,3.57,405,103
U0270,1066,2025-10-13,8.34,10,168
U0271,1070,2026-06-08,4.89,37,48
U0272,1067,2025-09-08,3.94,397,127
U0273,1081,2026-03-15,4.7,36,52
U0274,1035,2025-12-25,5.72,484,73
U0275,1057,2025-12-10,8.87,258,31
U0276,1004,2025-12-15,9.74,321,61
U0277,1091,2026-04-06,2.0,292,3
U0278,1071,2026-07-22,4.38,125,29
U0279,1060,2025-11-27,9.5,341,39
U0280,1064,2025-10-24,9.36,159,130
U0281,1091,2026-02-20,3.1,437,123
U0282,1061,2026-02-20,2.82,292,37
U0283,1050,2026-01-17,2.31,316,130
U0284,1096,2026-03-09,8.85,452,17
U0285,1036,2025-12-08,7.84,447,106
U0286,1044,2026-01-09,9.38,269,68
U0287,1001,2026-03-30,3.19,162,150
U0288,1075,2026-03-08,9.99,260,38
U0289,1058,2026-07-24,5.62,186,85
U0290,1071,2026-07-27,7.75,203,116
U0291,1042,2026-03-23,8.76,367,61
U0292,1074,2025-12-26,4.14,448,198
U0293,1053,2025-10-07,0.91,391,121
U0294,1091,2026-02-06,9.18,205,98
U0295,1085,2025-11-14,8.03,343,38
U0296,1064,2025-11-24,9.67,74,128
U0297,1076,2026-02-13,3.65,61,112
U0298,1013,2025-11-22,5.5,243,3
U0299,1093,2026-04-17,1.87,455,167
U0300,1020,2025-09-11,1.21,410,67
U0301,1044,2026-02-02,6.42,213,166
U0302,1011,2025-10-05,8.59,446,172
U0303,1069,2026-07-28,4.11,172,160
U0304,1092,2025-10-14,8.93,259,138
U0305,1005,2025-12-20,6.37,130,161
U0306,1088,2025-11-04,9.25,126,191
U0307,1012,2026-02-05,4.62,60,194
U0308,1082,2026-05-26,7.19,61,113
U0309,1022,2025-10-05,7.09,472,7
U0310,1006,2026-04-02,3.58,38,75
U0311,1046,2025-11-11,4.06,84,62
U0312,1068,2026-04-14,4.41,359,46
U0313,1022,2026-05-02,2.16,322,97
U0314,1080,2026-03-16,6.99,264,149
U0315,1019,2026-03-15,2.71,336,65
U0316,1059,2025-08-10,2.93,14,119
U0317,1037,2025-08-21,6.94,90,18
U0318,1057,2026-05-30,9.48,310,76
U0319,1082,2026-03-22,9.64,363,64
U0320,1059,2026-02-20,8.53,111,98
U0321,1062,2025-12-14,1.51,205,146
U0322,1046,2026-03-24,5.96,368,75
U0323,1003,2026-01-22,9.79,347,101
U0324,1036,2026-04-14,0.58,452,175
U0325,1100,2026-05-13,7.57,35,155
U0326,1096,2026-05-03,5.22,472,73
U0327,1100,2026-02-24,8.09,320,90
U0328,1029,2025-08-07,6.55,327,64
U0329,1087,2025-11-26,7.68,402,168
U0330,1088,2025-12-26,8.46,331,24
U0331,1081,2026-04-09,6.64,168,112
U0332,1005,2025-09-18,6.01,384,33
U0333,1012,2025-09-03,9.14,177,191
U0334,1054,2025-10-29,2.17,77,138
U0335,1047,2026-01-28,5.54,477,69
U0336,1022,2026-03-23,2.94,432,123
U0337,1038,2026-07-11,7.59,183,29
U0338,1060,2026-07-15,9.65,82,193
U0339,1029,2025-09-19,8.67,380,172
U0340,1051,2026-03-21,9.69,421,142
U0341,1047,2025-10-08,1.36,212,3
U0342,1034,2025-11-06,5.6,242,94
U0343,1087,2026-06-21,7.62,144,149
U0344,1049,2026-04-29,8.31,491,95
U0345,1014,2025-08-16,6.91,251,6
U0346,1080,2026-01-25,8.9,297,83
U0347,1079,2025-11-19,2.6,42,162
U0348,1060,2026-02-15,9.14,164,166
U0349,1053,2025-11-25,1.61,33,9
U0350,1039,2026-02-23,9.96,69,24
U0351,1031,2026-03-20,8.93,79,99
U0352,1059,2026-05-27,4.02,496,190
U0353,1090,2026-04-13,9.49,224,150
U0354,1096,2025-09-23,7.4,463,106
U0355,1084,2026-06-29,1.44,260,157
U0356,1053,2025-08-25,9.42,153,8
U0357,1089,2026-02-08,4.02,237,113
U0358,1031,2025-09-08,8.63,60,175
U0359,1048,2026-01-27,5.67,340,91
U0360,1008,2025-12-22,4.28,107,31
U0361,1059,2026-04-27,1.37,118,164
U0362,1082,2025-11-02,6.17,20,12
U0363,1043,2025-11-15,2.81,74,144
U0364,1027,2026-04-11,1.15,401,141
U0365,1027,2025-09-28,6.07,426,59
U0366,1043,2026-04-30,7.86,413,152
U0367,1001,2025-08-14,3.13,84,33
U0368,1070,2026-04-10,2.88,99,28
U0369,1085,2026-03-25,8.73,77,3
U0370,1046,2026-02-16,8.0,131,150
U0371,1042,2026-03-07,0.65,145,13
U0372,1017,2025-09-03,7.55,279,29
U0373,1096,2026-04-04,1.1,239,199
U0374,1047,2026-07-25,5.38,65,115
U0375,1065,2026-04-30,2.6,324,11
U0376,1094,2026-05-24,7.94,453,168
U0377,1067,2025-12-25,3.37,339,7
U0378,1008,2025-09-28,9.99,443,102
U0379,1055,2026-07-29,7.02,261,182
U0380,1057,2025-08-14,1.2,51,82
U0381,1078,2026-05-29,1.91,74,70
U0382,1080,2025-10-13,6.51,290,182
U0383,1042,2026-02-18,4.12,315,135
U0384,1038,2025-08-13,4.81,319,110
U0385,1013,2026-07-21,8.03,68,167
U0386,1084,2025-12-11,8.84,292,184
U0387,1028,2025-11-02,4.59,464,58
U0388,1053,2026-07-27,3.72,242,102
U0389,1054,2026-05-17,7.43,170,109
U0390,1041,2026-02-06,6.82,201,39
U0391,1088,2025-08-19,9.27,44,23
U0392,1011,2025-08-28,1.39,59,190
U0393,1095,2026-07-06,4.04,76,142
U0394,1008,2025-08-26,6.07,297,143
U0395,1043,2025-12-25,6.87,220,90
U0396,1086,2026-07-26,9.44,226,184
U0397,1007,2026-04-09,9.7,317,79
U0398,1046,2025-09-09,1.48,269,54
U0399,1020,2025-10-18,6.74,124,27
U0400,1045,2025-08-17,8.53,198,29
U0401,1098,2025-11-29,3.15,125,109
U0402,1072,2025-12-09,9.76,429,159
U0403,1079,2026-07-07,6.91,295,6
U0404,1078,2026-01-10,9.33,434,177
U0405,1035,2025-09-14,0.78,149,179
U0406,1098,2026-03-23,3.44,183,89
U0407,1001,2026-02-05,2.22,83,144
U0408,1085,2025-12-16,4.31,82,189
U0409,1082,2026-06-25,9.73,56,191
U0410,1068,2026-02-07,2.54,224,116
U0411,1044,2026-04-23,2.0,169,184
U0412,1042,2026-01-28,7.88,300,152
U0413,1011,2026-03-15,8.89,89,40
U0414,1097,2026-06-05,6.37,355,20
U0415,1035,2026-02-10,4.71,227,124
U0416,1078,2026-07-06,4.7,149,55
U0417,1097,2025-09-30,5.37,186,110
U0418,1015,2026-07-09,3.19,357,151
U0419,1063,2026-03-29,5.51,167,11
U0420,1029,2026-06-14,4.26,316,14
U0421,1001,2025-08-02,2.44,494,54
U0422,1099,2026-03-28,1.8,140,74
U0423,1042,2026-05-06,1.64,264,191
U0424,1056,2026-05-31,2.17,204,136
U0425,1091,2026-02-20,2.69,296,171
U0426,1046,2025-11-24,1.18,451,189
U0427,1006,2025-10-25,4.64,245,19
U0428,1041,2025-10-16,5.97,303,103
U0429,1091,2025-12-01,6.58,158,29
U0430,1052,2025-09-13,0.7,176,43
U0431,1080,2025-08-27,4.87,363,92
U0432,1012,2026-07-17,4.65,64,62
U0433,1056,2025-10-12,6.09,278,20
U0434,1051,2025-08-09,8.77,391,86
U0435,1029,2025-12-20,3.66,96,19
U0436,1066,2025-08-11,6.52,281,130
U0437,1025,2026-05-31,9.11,188,89
U0438,1094,2025-08-05,9.6,340,37
U0439,1031,2026-05-12,1.48,141,50
U0440,1023,2026-06-30,6.22,399,194
U0441,1084,2026-04-29,1.22,497,197
U0442,1081,2026-02-10,5.19,396,144
U0443,1098,2026-01-11,6.0,358,144
U0444,1083,2025-10-31,6.54,329,82
U0445,1081,2026-04-23,3.5,235,17
U0446,1061,2026-04-29,4.7,165,70
U0447,1076,2025-08-31,1.03,269,18
U0448,1040,2025-10-12,4.89,29,14
U0449,1048,2026-05-09,8.4,49,165
U0450,1012,2026-01-06,6.34,269,98
U0451,1060,2026-02-17,6.01,498,189
U0452,1006,2025-12-08,4.77,424,146
U0453,1084,2026-01-19,2.29,319,121
U0454,1065,2026-04-27,1.93,41,115
U0455,1014,2026-06-18,8.2,438,87
U0456,1092,2026-04-14,1.3,340,44
U0457,1006,2026-04-07,2.85,234,112
U0458,1068,2025-08-09,5.47,91,93
U0459,1048,2026-01-13,9.22,208,104
U0460,1100,2026-03-23,3.71,316,13
U0461,1081,2025-10-19,6.65,43,84
U0462,1013,2025-09-10,5.8,207,72
U0463,1033,2025-09-15,7.38,346,154
U0464,1020,2026-06-23,3.67,308,169
U0465,1019,2026-02-17,9.21,168,167
U0466,1090,2025-08-04,6.79,76,152
U0467,1091,2025-11-11,9.41,168,143
U0468,1049,2026-04-04,6.61,178,32
U0469,1086,2026-02-03,7.18,494,189
U0470,1088,2026-07-25,9.17,57,165
U0471,1086,2026-01-24,4.52,195,4
U0472,1047,2026-05-09,3.43,496,54
U0473,1044,2025-11-09,9.5,258,49
U0474,1029,2026-02-05,10.0,89,19
U0475,1038,2026-03-12,8.52,61,129
U0476,1099,2026-05-20,5.63,388,134
U0477,1005,2025-08-14,6.79,458,196
U0478,1080,2026-06-26,1.74,202,39
U0479,1021,2026-03-26,2.22,364,197
U0480,1080,2026-01-30,8.19,94,184
U0481,1057,2026-06-30,0.92,196,173
U0482,1093,2026-06-30,2.76,237,156
U0483,1037,2026-04-11,7.65,411,114
U0484,1030,2026-01-06,5.57,168,200
U0485,1061,2026-04-29,9.09,109,94
U0486,1087,2026-03-07,9.5,235,118
U0487,1099,2025-09-23,3.18,205,128
U0488,1068,2025-09-23,4.48,92,51
U0489,1078,2025-08-12,1.81,138,13
U0490,1083,2025-09-10,5.07,200,141
U0491,1014,2026-02-05,7.26,274,31
U0492,1037,2026-04-19,1.3,92,69
U0493,1058,2025-12-13,9.1,85,111
U0494,1012,2025-10-24,9.49,123,115
U0495,1045,2025-08-10,9.34,222,13
U0496,1051,2026-04-12,5.27,130,98
U0497,1011,2025-11-01,4.06,24,81
U0498,1013,2026-06-12,8.47,342,85
U0499,1019,2025-11-29,1.81,156,120
U0500,1090,2025-11-11,8.4,398,180
U0501,1061,2026-06-04,4.76,12,20
U0502,1003,2025-11-23,2.93,437,38
U0503,1071,2026-06-10,9.43,321,135
U0504,1055,2026-06-04,1.56,157,60
U0505,1039,2025-08-03,1.66,132,107
U0506,1082,2026-05-31,8.04,244,16
U0507,1015,2025-10-08,8.45,265,152
U0508,1069,2025-12-03,0.66,273,147
U0509,1031,2026-05-13,7.33,159,109
U0510,1001,2026-05-26,6.34,133,146
U0511,1054,2026-04-08,2.28,352,21
U0512,1068,2025-10-16,9.76,44,134
U0513,1070,2025-11-07,5.32,269,141
U0514,1003,2026-03-15,4.21,250,11
U0515,1082,2026-05-12,4.18,201,64
U0516,1096,2025-10-26,0.65,413,17
U0517,1045,2025-09-11,2.79,346,160
U0518,1014,2026-04-02,7.83,386,193
U0519,1043,2026-01-25,1.77,190,139
U0520,1044,2026-04-03,8.23,99,199
U0521,1088,2026-03-05,4.91,366,122
U0522,1081,2025-12-09,2.23,79,16
U0523,1092,2025-11-19,7.87,244,9
U0524,1038,2026-04-17,2.42,415,51
U0525,1006,2026-07-26,3.5,168,131
U0526,1051,2026-05-23,9.9,288,121
U0527,1033,2026-04-25,0.85,341,48
U0528,1037,2026-05-14,3.89,409,12
U0529,1084,2026-06-16,3.65,73,94
U0530,1056,2026-01-08,8.95,390,112
U0531,1050,2026-07-26,3.72,105,127
U0532,1089,2025-09-30,5.23,483,132
U0533,1035,2025-10-23,8.11,382,108
U0534,1011,2026-07-14,4.59,431,46
U0535,1070,2026-07-18,3.29,62,20
U0536,1042,2025-09-06,6.78,166,114
U0537,1078,2026-06-05,7.32,95,176
U0538,1057,2026-03-13,3.84,31,186
U0539,1046,2026-03-11,6.34,232,70
U0540,1082,2026-06-07,9.81,495,14
U0541,1010,2025-11-08,6.88,217,93
U0542,1066,2025-11-18,8.11,357,40
U0543,1004,2025-08-28,1.86,321,173
U0544,1057,2026-02-19,0.83,44,60
U0545,1100,2026-01-12,6.63,195,98
U0546,1073,2026-06-18,0.81,88,173
U0547,1058,2025-10-25,9.51,200,113
U0548,1098,2026-03-02,1.23,80,135
U0549,1047,2025-10-11,4.28,342,71
U0550,1032,2026-01-10,9.62,23,188
U0551,1024,2026-06-09,5.24,208,143
U0552,1016,2026-03-12,2.99,143,180
U0553,1058,2026-01-28,2.54,323,73
U0554,1089,2025-08-07,9.21,261,51
U0555,1016,2026-07-29,1.79,47,115
U0556,1023,2026-04-27,9.04,237,22
U0557,1088,2025-11-10,9.69,173,170
U0558,1045,2025-12-18,7.24,291,138
U0559,1038,2026-02-25,8.97,445,40
U0560,1092,2025-11-27,7.24,368,163
U0561,1023,2026-04-24,8.04,270,57
U0562,1016,2025-10-25,9.86,415,35
U0563,1031,2025-11-11,8.01,23,92
U0564,1071,2025-12-03,5.94,249,141
U0565,1017,2026-01-16,6.31,54,16
U0566,1040,2026-05-02,4.28,377,184
U0567,1062,2026-02-26,5.49,403,104
U0568,1074,2026-05-23,1.2,172,164
U0569,1010,2025-11-17,4.77,358,132
U0570,1045,2025-10-13,1.72,434,199
U0571,1071,2026-05-27,6.58,103,196
U0572,1017,2026-02-12,4.61,476,14
U0573,1016,2025-12-06,5.42,165,42
U0574,1021,2026-04-03,3.57,373,57
U0575,1045,2026-05-07,9.5,275,72
U0576,1011,2026-02-28,2.88,335,141
U0577,1036,2026-03-24,1.69,165,157
U0578,1069,2026-05-31,1.39,338,43
U0579,1076,2025-11-28,9.45,88,43
U0580,1085,2025-08-24,6.43,471,154
U0581,1044,2026-03-03,8.5,298,10
U0582,1004,2026-07-02,1.27,495,164
U0583,1099,2026-07-09,5.98,343,53
U0584,1099,2025-10-30,5.94,326,163
U0585,1004,2026-03-18,5.23,331,139
U0586,1038,2025-12-11,6.6,164,123
U0587,1032,2026-03-21,8.14,360,103
U0588,1039,2025-11-04,4.81,362,15
U0589,1021,2026-06-05,4.68,257,118
U0590,1027,2025-12-31,3.73,83,80
U0591,1092,2026-05-11,3.53,450,88
U0592,1052,2026-07-07,1.74,199,131
U0593,1072,2026-03-28,1.51,133,119
U0594,1016,2025-11-07,3.04,136,36
U0595,1013,2026-06-27,0.98,494,98
U0596,1079,2025-12-28,4.47,453,40
U0597,1042,2026-01-24,9.37,379,80
U0598,1025,2025-08-27,7.75,265,131
U0599,1060,2025-10-26,5.24,167,127
U0600,1003,2026-01-31,1.36,211,129
U0601,1059,2026-04-15,9.68,120,149
U0602,1046,2026-07-15,0.96,154,126
U0603,1077,2025-10-24,8.88,344,172
U0604,1061,2026-02-18,3.21,14,27
U0605,1056,2026-07-31,1.77,145,186
U0606,1047,2026-04-16,7.76,197,11
U0607,1052,2025-12-02,0.99,297,49
U0608,1047,2026-06-14,5.76,47,98
U0609,1065,2025-08-29,4.78,291,71
U0610,1080,2026-04-08,6.96,70,32
U0611,1013,2026-06-22,4.24,416,86
U0612,1072,2025-10-20,9.42,396,36
U0613,1026,2025-08-27,6.22,215,128
U0614,1006,2025-10-01,0.93,80,182
U0615,1043,2025-10-05,8.14,275,116
U0616,1020,2025-12-04,6.26,273,35
U0617,1042,2026-03-28,9.35,173,41
U0618,1051,2025-08-31,9.91,388,76
U0619,1076,2025-08-16,3.7,434,130
U0620,1069,2025-08-01,5.15,298,76
U0621,1061,2025-10-29,8.25,198,84
U0622,1087,2025-08-12,1.54,223,149
U0623,1040,2026-03-21,8.07,381,176
U0624,1081,2026-06-02,0.75,252,67
U0625,1084,2025-10-10,7.94,407,148
U0626,1074,2026-06-10,2.66,36,149
U0627,1062,2026-05-25,2.12,332,184
U0628,1080,2025-10-29,7.86,204,37
U0629,1088,2026-07-18,2.8,303,179
U0630,1015,2025-12-23,2.31,235,80
U0631,1054,2026-03-28,1.94,363,52
U0632,1053,2025-12-12,5.27,323,120
U0633,1095,2025-10-21,7.41,371,35
