recharge_id,customer_id,recharge_date,amount,payment_mode
R0047,1059,2026-06-08,199,Debit Card
R0048,1065,2025-09-22,299,UPI
R0049,1081,2026-07-14,499,Credit Card
R0050,1020,2026-05-15,499,Credit Card
R0051,1070,2025-11-23,999,UPI
R0052,1077,2026-05-06,499,Net Banking
R0053,1003,2026-06-01,199,Debit Card
R0054,1040,2026-01-11,299,UPI
R0055,1031,2026-06-19,999,UPI
R0056,1011,2025-09-30,699,UPI
R0057,1098,2026-05-16,999,Credit Card
R0058,1017,2025-08-20,699,Credit Card
R0059,1034,2026-05-28,999,Net Banking
R0060,1028,2025-09-29,999,Credit Card
R0061,1092,2025-11-21,499,Net Banking
R0062,1086,2026-05-10,499,Net Banking
R0063,1067,2026-02-06,699,UPI
R0064,1032,2025-10-16,299,UPI
R0065,1044,2025-12-02,199,Credit Card
R0066,1076,2025-12-29,299,UPI
R0067,1010,2026-06-30,199,Credit Card
R0068,1009,2026-05-09,199,Debit Card
R0069,1010,2025-11-12,999,Credit Card
R0070,1036,2026-05-16,699,Credit Card
R0071,1070,2025-08-19,299,Net Banking
R0072,1032,2025-09-27,699,Net Banking
R0073,1025,2025-11-11,199,UPI
R0074,1085,2026-02-10,699,Debit Card
R0075,1055,2026-06-22,699,Net Banking
R0076,1094,2026-02-25,199,UPI
R0077,1008,2025-08-25,699,Debit Card
R0078,1014,2026-04-01,299,Credit Card
R0079,1025,2025-11-30,999,Net Banking
R0080,1018,2025-10-05,699,Credit Card
R0081,1036,2026-07-10,699,Credit Card
R0082,1010,2025-09-17,699,UPI
R0083,1007,2026-06-06,999,UPI
R0084,1012,2026-06-12,299,Credit Card
R0085,1053,2026-06-08,699,Net Banking
R0086,1028,2026-03-28,699,UPI
R0087,1022,2026-05-30,699,UPI
R0088,1050,2025-09-19,499,Net Banking
R0089,1037,2026-06-04,699,Net Banking
R0090,1020,2026-05-13,299,Debit Card
R0091,1028,2025-10-17,199,UPI
R0092,1096,2025-11-04,499,UPI
R0093,1007,2026-05-19,999,Net Banking
R0094,1065,2025-08-06,999,Credit Card
R0095,1008,2026-02-04,999,UPI
R0096,1024,2026-06-25,199,UPI
R0097,1087,2025-08-14,299,Net Banking
R0098,1016,2026-04-28,999,Credit Card
R0099,1075,2026-02-20,999,UPI
R0100,1080,2026-02-08,199,Net Banking
R0101,1085,2026-06-26,999,Debit Card
R0102,1034,2026-01-09,299,Debit Card
R0103,1031,2026-04-03,499,Net Banking
R0104,1017,2026-03-09,499,Net Banking
R0105,1041,2026-04-25,199,UPI
R0106,1059,2025-10-29,999,UPI
R0107,1010,2026-06-30,999,Credit Card
R0108,1065,2025-12-24,499,Credit Card
R0109,1045,2025-09-23,199,Credit Card
R0110,1048,2026-05-06,499,Credit Card
R0111,1057,2026-07-08,999,Debit Card
R0112,1079,2026-03-20,999,UPI
R0113,1086,2026-06-15,999,Debit Card
R0114,1085,2026-03-21,199,Credit Card
R0115,1034,2026-04-24,199,UPI
R0116,1096,2026-02-08,999,Credit Card
R0117,1035,2026-03-27,499,Credit Card
R0118,1092,2026-07-17,499,Credit Card
R0119,1088,2026-05-22,499,Net Banking
R0120,1033,2025-08-08,199,UPI
R0121,1082,2025-12-19,699,Debit Card
R0122,1006,2026-01-30,199,Debit Card
R0123,1099,2026-05-14,299,Debit Card
R0124,1021,2026-04-23,699,Net Banking
R0125,1072,2026-06-24,199,UPI
R0126,1010,2025-09-03,299,UPI
R0127,1048,2025-08-27,999,Credit Card
R0128,1056,2026-01-28,299,UPI
R0129,1040,2025-08-31,499,UPI
R0130,1046,2025-08-28,299,Credit Card
R0131,1086,2025-11-19,199,Debit Card
R0132,1100,2026-03-11,999,Net Banking
R0133,1080,2025-11-17,299,Credit Card
R0134,1021,2025-11-18,299,Net Banking
R0135,1004,2026-02-13,299,Debit Card
R0136,1053,2025-12-18,299,Debit Card
R0137,1021,2026-03-09,199,Net Banking
R0138,1005,2025-08-23,699,Credit Card
R0139,1026,2025-11-13,699,Debit Card
R0140,1040,2025-12-02,299,Credit Card
R0141,1004,2025-09-27,299,Net Banking
R0142,1043,2026-02-13,499,UPI
R0143,1099,2026-04-08,499,Debit Card
R0144,1083,2025-11-30,999,Net Banking
R0145,1087,2026-04-30,999,Debit Card
R0146,1004,2025-12-28,199,Debit Card
R0147,1023,2026-01-17,999,Debit Card
R0148,1005,2025-10-30,199,Net Banking
R0149,1045,2026-07-14,499,Net Banking
R0150,1078,2026-07-14,999,UPI
R0151,1050,2026-07-29,999,Credit Card
R0152,1033,2025-10-28,199,Net Banking
R0153,1001,2026-01-20,999,Credit Card
R0154,1047,2025-11-12,699,UPI
R0155,1086,2025-12-17,499,Debit Card
R0156,1085,2026-02-20,199,Debit Card
R0157,1065,2025-10-30,499,Net Banking
R0158,1042,2026-01-28,699,Debit Card
R0159,1071,2026-02-16,299,Credit Card
R0160,1054,2026-02-12,699,Credit Card
R0161,1079,2026-05-17,999,Debit Card
R0162,1052,2025-12-26,999,UPI
R0163,1039,2026-01-15,499,Credit Card
R0164,1056,2026-03-28,999,Debit Card
R0165,1060,2025-09-17,699,Net Banking
R0166,1087,2026-01-06,299,Net Banking
R0167,1095,2025-12-27,299,UPI
R0168,1037,2026-03-05,999,Debit Card
R0169,1012,2026-07-15,299,Debit Card
R0170,1029,2026-03-06,299,Credit Card
R0171,1004,2026-01-23,199,Credit Card
R0172,1061,2026-03-29,999,UPI
R0173,1059,2025-12-10,699,Credit Card
R0174,1092,2026-07-07,699,Net Banking
R0175,1052,2025-11-17,299,Credit Card
R0176,1084,2025-10-25,199,UPI
R0177,1100,2025-11-20,699,Credit Card
R0178,1023,2026-01-25,999,Net Banking
R0179,1007,2026-07-19,999,Credit Card
R0180,1016,2025-09-05,699,Credit Card
R0181,1060,2025-10-20,999,Debit Card
R0182,1097,2026-07-03,699,Net Banking
R0183,1071,2025-08-20,699,Credit Card
R0184,1096,2025-09-18,699,Net Banking
R0185,1034,2026-05-18,299,Debit Card
R0186,1099,2026-01-24,999,Net Banking
R0187,1081,2026-03-31,299,Debit Card
R0188,1057,2026-05-04,199,Debit Card
R0189,1031,2026-07-17,499,Debit Card
R0190,1041,2025-08-12,999,UPI
R0191,1018,2026-02-22,299,Credit Card
R0192,1050,2025-11-24,299,Credit Card
R0193,1009,2026-05-07,699,Net Banking
R0194,1043,2025-10-03,999,Net Banking
R0195,1054,2026-03-17,199,Credit Card
R0196,1054,2026-03-18,699,UPI
R0197,1098,2025-08-25,999,Net Banking
R0198,1062,2026-07-19,199,Debit Card
R0199,1039,2026-04-12,699,Net Banking
R0200,1069,2025-08-18,999,Credit Card
R0201,1063,2025-08-03,299,Debit Card
R0202,1056,2026-04-26,699,UPI
R0203,1050,2025-11-29,499,Net Banking
R0204,1093,2026-05-29,299,Net Banking
R0205,1017,2025-11-14,999,UPI
R0206,1051,2025-10-27,999,UPI
R0207,1011,2025-08-28,699,Credit Card
R0208,1060,2026-07-12,299,UPI
R0209,1034,2025-10-03,699,Debit Card
R0210,1028,2026-05-25,699,Debit Card
R0211,1044,2026-04-17,699,Debit Card
R0212,1097,2025-10-22,699,Debit Card
R0213,1011,2026-01-15,699,UPI
R0214,1096,2026-03-17,999,UPI
R0215,1045,2026-02-08,299,UPI
R0216,1100,2026-06-27,199,UPI
R0217,1032,2025-11-21,299,UPI
R0218,1080,2025-11-14,299,Credit Card
R0219,1017,2026-03-23,699,UPI
R0220,1073,2026-04-11,299,Net Banking
R0221,1090,2026-03-23,499,Debit Card
R0222,1022,2026-02-27,999,UPI
R0223,1100,2025-10-01,299,Debit Card
R0224,1014,2025-08-25,999,UPI
R0225,1040,2025-10-20,999,Net Banking
R0226,1051,2025-12-26,299,UPI
R0227,1076,2026-01-18,299,UPI
R0228,1090,2026-07-21,499,UPI
R0229,1073,2025-09-08,199,Debit Card
R0230,1069,2025-11-12,699,Debit Card
R0231,1009,2026-03-28,999,Debit Card
R0232,1002,2025-09-08,699,Net Banking
R0233,1014,2026-02-03,699,Debit Card
R0234,1082,2026-05-06,699,Credit Card
R0235,1056,2026-01-16,299,Debit Card
R0236,1079,2026-03-28,999,Net Banking
R0237,1060,2025-08-02,699,Debit Card
R0238,1042,2025-08-15,299,UPI
R0239,1036,2026-06-07,699,Credit Card
R0240,1097,2025-09-15,699,Net Banking
R0241,1044,2026-03-05,199,Net Banking
R0242,1042,2025-12-13,299,Net Banking
R0243,1028,2026-05-23,499,Debit Card
R0244,1044,2026-03-06,499,Debit Card
R0245,1072,2025-08-23,199,Credit Card
R0246,1011,2025-08-15,299,Net Banking
R0247,1063,2025-08-15,999,Credit Card
R0248,1089,2026-01-14,699,Net Banking
R0249,1058,2026-02-07,199,UPI
R0250,1038,2026-04-12,299,Net Banking
R0251,1089,2026-05-10,299,Debit Card
R0252,1085,2026-02-01,999,Debit Card
R0253,1061,2025-11-04,999,Debit Card
R0254,1055,2025-11-27,999,Debit Card
R0255,1046,2025-12-26,699,Debit Card
R0256,1040,2026-04-09,499,Credit Card
R0257,1016,2026-01-27,299,Debit Card
R0258,1016,2025-10-24,999,Credit Card
R0259,1025,2026-07-23,299,Net Banking
R0260,1036,2026-03-01,999,Debit Card
R0261,1013,2026-05-27,299,Debit Card
R0262,1030,2026-04-07,499,Credit Card
R0263,1039,2026-06-16,199,Credit Card
R0264,1036,2026-01-08,199,UPI
R0265,1071,2025-09-17,499,Credit Card
R0266,1082,2026-02-05,699,UPI
R0267,1002,2026-07-23,999,Debit Card
R0268,1061,2025-08-18,699,Net Banking
R0269,1044,2025-09-28,299,UPI
R0270,1033,2025-11-06,699,UPI
R0271,1009,2026-06-13,699,Net Banking
R0272,1010,2025-10-07,999,UPI
R0273,1020,2025-10-28,299,Debit Card
R0274,1011,2026-02-27,299,UPI
R0275,1072,2026-03-11,699,Credit Card
R0276,1100,2026-05-12,999,Net Banking
R0277,1058,2026-02-21,699,Debit Card
R0278,1076,2026-04-27,699,Debit Card
R0279,1073,2026-05-15,999,UPI
R0280,1079,2026-02-24,199,Credit Card
R0281,1081,2026-06-25,299,Debit Card
R0282,1085,2025-10-22,199,Credit Card
R0283,1031,2025-08-21,299,UPI
R0284,1021,2025-08-02,199,Net Banking
R0285,1058,2026-06-15,999,Net Banking
R0286,1038,2026-03-20,199,Credit Card
R0287,1037,2025-08-08,499,Net Banking
R0288,1010,2026-07-03,299,Debit Card
R0289,1081,2026-02-24,999,Credit Card
R0290,1055,2026-01-23,199,Credit Card
R0291,1083,2026-07-04,299,Debit Card
R0292,1019,2025-10-31,199,UPI
R0293,1022,2026-04-25,499,Debit Card
R0294,1057,2026-06-13,199,Net Banking
R0295,1089,2026-07-20,499,Net Banking
R0296,1035,2025-10-18,999,Net Banking
R0297,1057,2026-07-01,199,UPI
R0298,1056,2025-11-06,499,Debit Card
R0299,1004,2026-07-10,199,Credit Card
R0300,1087,2025-08-16,999,UPI
R0301,1098,2026-02-25,499,UPI
R0302,1098,2026-04-21,299,Net Banking
R0303,1067,2025-10-18,699,Debit Card
R0304,1024,2025-11-20,999,Net Banking
R0305,1082,2026-07-11,699,UPI
R0306,1061,2025-12-05,499,Net Banking
R0307,1043,2026-04-21,499,UPI
R0308,1021,2025-10-27,499,Net Banking
R0309,1089,2025-12-04,699,Debit Card
R0310,1085,2025-12-13,699,UPI
R0311,1059,2026-03-16,199,Debit Card
R0312,1033,2025-08-10,499,UPI
R0313,1099,2026-06-23,699,UPI
R0314,1085,2026-02-27,999,Net Banking
R0315,1053,2026-04-20,199,Credit Card
R0316,1067,2026-04-24,499,Net Banking
R0317,1081,2026-05-26,699,UPI
R0318,1027,2026-03-07,499,Credit Card
R0319,1037,2026-07-10,699,Net Banking
R0320,1016,2026-04-20,199,Credit Card
R0321,1091,2025-10-17,299,Debit Card
R0322,1071,2026-05-21,199,Net Banking
R0323,1012,2025-07-31,299,UPI
R0324,1060,2025-09-20,199,Credit Card
R0325,1064,2025-11-20,499,Debit Card
R0326,1054,2026-07-11,699,Net Banking
R0327,1032,2026-03-03,699,Credit Card
R0328,1050,2026-01-21,299,Credit Card
R0329,1009,2025-12-19,499,Net Banking
R0330,1044,2026-06-12,999,Debit Card
R0331,1001,2026-04-30,499,Debit Card
R0332,1076,2025-12-11,999,Net Banking
R0333,1020,2025-11-12,699,Net Banking
R0334,1045,2025-10-27,499,Net Banking
R0335,1059,2026-02-19,499,Credit Card
R0336,1090,2026-07-19,299,Net Banking
R0337,1030,2026-04-03,699,UPI
R0338,1041,2025-09-11,699,Net Banking
R0339,1050,2026-07-19,299,Net Banking
R0340,1005,2026-01-12,299,Debit Card
R0341,1013,2026-02-14,699,UPI
R0342,1068,2026-03-24,699,UPI
R0343,1093,2025-11-24,299,Net Banking
R0344,1084,2026-06-28,299,UPI
R0345,1061,2025-09-29,499,Debit Card
R0346,1080,2025-10-10,699,UPI
R0347,1043,2025-08-24,999,Net Banking
R0348,1041,2026-06-27,699,UPI
R0349,1080,2026-05-02,199,Credit Card
R0350,1081,2026-04-05,499,Credit Card
R0351,1096,2026-06-29,199,Net Banking
R0352,1013,2025-08-25,199,Net Banking
R0353,1022,2026-03-21,499,UPI
R0354,1006,2026-07-17,499,UPI
R0355,1038,2026-04-09,499,Debit Card
R0356,1056,2026-07-15,299,Credit Card
R0357,1068,2026-04-18,699,Credit Card
R0358,1022,2026-03-25,299,UPI
R0359,1079,2026-07-11,699,Credit Card
R0360,1064,2026-01-17,999,Credit Card
R0361,1030,2025-08-01,699,Debit Card
R0362,1059,2025-08-25,499,UPI
R0363,1060,2026-07-24,499,Credit Card
R0364,1010,2026-04-29,699,Debit Card
R0365,1076,2026-01-15,499,Net Banking
R0366,1089,2026-06-06,499,Net Banking
R0367,1039,2025-10-15,299,Net Banking
R0368,1062,2025-09-01,199,Credit Card
R0369,1049,2025-11-08,999,Debit Card
R0370,1074,2025-11-12,499,Debit Card
R0371,1003,2025-12-23,699,Debit Card
R0372,1002,2025-07-31,999,UPI
R0373,1078,2026-06-01,699,Debit Card
R0374,1100,2026-05-07,299,Debit Card
R0375,1029,2026-01-17,299,Debit Card
R0376,1087,2026-06-27,299,UPI
R0377,1081,2026-04-22,199,Debit Card
R0378,1057,2025-12-09,199,Debit Card
R0379,1094,2026-01-14,299,UPI
R0380,1038,2026-02-18,499,Net Banking
R0381,1023,2025-12-28,299,Credit Card
R0382,1070,2026-06-27,499,Debit Card
R0383,1022,2026-01-24,499,Net Banking
R0384,1038,2026-01-16,499,UPI
R0385,1060,2026-01-16,199,Credit Card
R0386,1097,2026-07-02,299,Net Banking
R0387,1072,2025-10-24,499,UPI
R0388,1051,2025-12-23,199,Debit Card
R0389,1069,2025-10-07,199,Net Banking
R0390,1048,2025-10-09,499,Net Banking
R0391,1082,2026-01-16,499,UPI
R0392,1087,2026-07-09,299,Net Banking
R0393,1004,2026-05-01,999,Debit Card
R0394,1079,2025-11-25,299,UPI
R0395,1082,2026-03-23,699,Debit Card
R0396,1084,2026-06-08,699,UPI
R0397,1018,2025-09-01,199,UPI
R0398,1039,2025-12-03,699,UPI
R0399,1013,2025-12-28,299,Credit Card
R0400,1050,2026-02-11,699,Debit Card
R0401,1086,2026-07-29,999,Net Banking
R0402,1076,2026-03-13,299,Net Banking
R0403,1084,2026-05-29,199,Net Banking
R0404,1079,2026-01-07,699,Debit Card
R0405,1005,2026-05-11,499,Credit Card
R0406,1057,2025-11-02,699,Credit Card
R0407,1047,2026-04-15,199,Debit Card
R0408,1070,2026-03-24,499,UPI
R0409,1051,2026-02-02,499,Credit Card
R0410,1016,2025-11-21,699,UPI
R0411,1085,2026-06-20,299,UPI
R0412,1007,2026-01-22,499,Credit Card
R0413,1017,2025-08-06,999,Credit Card
R0414,1009,2026-02-09,999,Credit Card
R0415,1076,2026-07-03,299,Credit Card
R0416,1043,2026-05-05,299,UPI
R0417,1036,2026-01-26,299,Credit Card
R0418,1070,2026-03-26,499,Credit Card
R0419,1015,2026-02-08,199,Credit Card
R0420,1002,2025-09-30,499,Credit Card
R0421,1076,2026-02-24,499,UPI
R0422,1023,2025-11-28,499,UPI
R0423,1017,2026-01-13,699,UPI
R0424,1096,2026-02-08,199,Net Banking
R0425,1058,2026-03-29,499,UPI
R0426,1058,2025-12-09,999,Credit Card
R0427,1079,2026-02-08,199,Debit Card
R0428,1059,2025-08-03,199,UPI
R0429,1062,2026-06-26,699,Net Banking
R0430,1088,2026-04-11,199,Net Banking
R0431,1092,2025-08-18,699,UPI
R0432,1011,2026-04-27,499,Credit Card
R0433,1009,2026-01-17,299,Debit Card
R0434,1080,2026-04-04,999,Debit Card
R0435,1049,2025-11-10,999,Debit Card
R0436,1059,2026-05-21,999,Net Banking
R0437,1013,2026-01-06,199,Credit Card
R0438,1056,2025-09-24,699,Credit Card
R0439,1053,2026-01-16,499,Net Banking
R0440,1052,2025-10-30,699,UPI
R0441,1041,2025-12-27,699,Debit Card
R0442,1086,2025-09-10,499,Debit Card
R0443,1020,2025-10-15,699,UPI
R0444,1012,2026-01-18,199,UPI
R0445,1056,2026-03-20,199,Debit Card
R0446,1017,2026-03-14,999,UPI
R0447,1076,2026-06-12,999,Debit Card
R0448,1086,2026-06-23,199,Net Banking
R0449,1046,2025-11-14,699,UPI
R0450,1037,2026-03-06,999,Debit Card
R0451,1046,2025-12-12,199,Credit Card
R0452,1020,2025-12-20,699,Credit Card
R0453,1014,2026-07-07,499,Debit Card
R0454,1015,2026-01-15,499,Credit Card
R0455,1055,2026-06-15,999,UPI
R0456,1078,2026-01-23,499,UPI
R0457,1024,2026-04-05,499,Debit Card
R0458,1044,2026-03-09,499,UPI
R0459,1024,2025-10-20,299,Net Banking
R0460,1009,2025-09-28,299,UPI
R0461,1012,2025-09-30,999,Credit Card
R0462,1049,2026-04-24,699,Net Banking
R0463,1044,2025-09-04,299,Debit Card
R0464,1040,2026-05-28,499,UPI
R0465,1007,2025-10-25,299,Credit Card
R0466,1097,2026-06-09,999,UPI
R0467,1087,2026-03-19,199,Debit Card
R0468,1057,2026-01-01,699,Net Banking
R0469,1078,2026-03-07,699,Net Banking
R0470,1035,2025-11-26,299,UPI
R0471,1045,2025-08-05,699,UPI
R0472,1037,2026-07-16,999,Net Banking
R0473,1068,2025-12-09,499,UPI
R0474,1029,2025-12-22,699,UPI
R0475,1001,2025-11-05,299,Debit Card
R0476,1028,2026-04-06,299,Debit Card
R0477,1038,2026-07-29,499,UPI
R0478,1001,2025-11-02,699,Net Banking
R0479,1023,2026-06-17,299,Net Banking
R0480,1069,2026-06-28,299,Debit Card
R0481,1010,2026-02-17,699,UPI
R0482,1056,2026-04-03,199,Net Banking
R0483,1010,2026-03-13,499,Net Banking
R0484,1074,2026-06-10,699,Net Banking
R0485,1038,2025-08-18,199,Net Banking
R0486,1003,2026-06-30,499,Credit Card
R0487,1080,2026-02-06,699,Debit Card
R0488,1012,2025-08-08,699,UPI
R0489,1032,2025-08-14,699,Net Banking
R0490,1068,2026-07-27,199,Net Banking
R0491,1040,2025-10-21,499,Credit Card
R0492,1043,2026-06-11,299,UPI
R0493,1066,2026-04-08,199,Credit Card
R0494,1100,2025-12-17,499,Debit Card
R0495,1094,2026-05-25,299,Credit Card
R0496,1014,2025-10-16,299,Debit Card
R0497,1026,2025-11-02,299,Credit Card
R0498,1098,2026-03-26,199,Credit Card
R0499,1099,2025-11-01,699,Net Banking
R0500,1097,2026-06-07,999,Net Banking
